outcome,timepoint,condition,n_reported_in_text,mean_reported_in_plot,change_score_reported_in_text,interval_upper,interval_lower,mean_recalculated,diff_mean_recalculated_and_mean_reported_in_plot,interval_width_extracted_from_plot,interval_lower_width,interval_upper_width,interval_width_diff,sd_assuming_ci,sd_assuming_sem
discomfort,baseline,distinction,12,25.703424657534235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discomfort,baseline,hierarchy,12,18.339041095890405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discomfort,postinduction,distinction,12,NA,15.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discomfort,postinduction,hierarchy,12,NA,13.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
discomfort,postintervention,distinction,12,25.487671232876703,-16.12,32.7945205479452,18.249469358327328,25.253424657534236,-0.23424657534246762,14.545051189617869,7.238201874549375,7.306849315068494,0.06864744051911842,12.853452887300147,25.192767659108288
discomfort,postintervention,hierarchy,12,15.447945205479447,-16.34,20.09383561643835,10.543150684931506,15.419041095890403,-0.028904109589044324,9.550684931506845,4.9047945205479415,4.645890410958904,-0.25890410958903765,8.439934463496092,16.542271548452337
anxiety,baseline,distinction,12,23.388985675571035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anxiety,baseline,hierarchy,12,19.840140663311388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anxiety,postinduction,distinction,12,NA,14.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anxiety,postinduction,hierarchy,12,NA,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anxiety,postintervention,distinction,12,19.90063233965672,-17.41,27.0688959865789,12.712204800619435,20.118985675571036,0.2183533359143155,14.356691185959466,7.188427539037285,7.168263646922181,-0.02016389211510372,12.686999266662284,24.866518562658076
anxiety,postintervention,hierarchy,12,14.184168925022588,-12.91,19.104158601109827,9.183523680474892,14.260140663311386,0.07597173828879811,9.920634920634935,5.000645244547696,4.919989676087239,-0.08065556846045752,8.766859043817217,17.183043725881742
stress,baseline,distinction,12,18.46124905944317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stress,baseline,hierarchy,12,18.45127345691679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stress,postinduction,distinction,12,NA,8.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stress,postinduction,hierarchy,12,NA,9.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stress,postintervention,distinction,12,17.44373760175113,-9.82,22.3317828396835,12.156668262763048,17.48124905944317,0.03751145769203745,10.17511457692045,5.287069338988083,4.888045237932367,-0.3990241010557156,8.99174256125557,17.623815420060918
stress,postintervention,hierarchy,12,14.191691178147142,-13.82,19.199443646396222,8.54550014820893,14.051273456916789,-0.140417721230353,10.653943498187292,5.646191029938212,5.00775246824908,-0.6384385616891315,9.414883387667595,18.453171439828488
