outcome,timepoint,condition,n,mean,sd
discomfort,baseline,distinction,12,25.68,24.33
discomfort,baseline,hierarchy,12,18.25,20.45
discomfort,postinduction,distinction,12,41.35,27.44
discomfort,postinduction,hierarchy,12,31.67,21.1
discomfort,postintervention,distinction,12,25.23,25.91
discomfort,postintervention,hierarchy,12,15.33,16.37
anxiety,baseline,distinction,12,23.13,22.14
anxiety,baseline,hierarchy,12,19.75,22.41
anxiety,postinduction,distinction,12,37.27,23.88
anxiety,postinduction,hierarchy,12,27.08,22.43
anxiety,postintervention,distinction,12,19.86,24.98
anxiety,postintervention,hierarchy,12,14.17,17.5
stress,baseline,distinction,12,18.21,17.67
stress,baseline,hierarchy,12,18.33,16.77
stress,postinduction,distinction,12,27.05,24.57
stress,postinduction,hierarchy,12,27.75,22.64
stress,postintervention,distinction,12,17.23,17.79
stress,postintervention,hierarchy,12,13.92,17.82
